token,MI
設廠,-4.1539866920349615
互信,-4.1540836941159744
創新,-4.154126318496218
曹啟,-4.154245925900417
正義的,-4.15432251429351
高科技,-4.154652532689577
全世界,-4.154830268597256
陸客,-4.154975562982598
橘子,-4.1554280587562005
人文,-4.155766360219775
徐旭東,-4.155815303081369
友邦,-4.155815303081369
藝術家,-4.155815303081369
演奏,-4.156537722680002
國造,-4.156695332727787
路徑,-4.157507581421737
觀光,-4.158134814773179
文化部,-4.158704590956502
低薪,-4.158797003869267
一行,-4.1588174889749006
生醫,-4.158892442718548
講座,-4.158934308480561
校友,-4.159277760046031
跨足,-4.159655998582077
企業界,-4.159700842867512
優良,-4.159800554607568
交涉,-4.159800554607568
技職,-4.160004439162226
好手,-4.160129715212913
評選,-4.160368474792849
看準,-4.160654288874834
外勞,-4.160851292498944
創意,-4.161038982939532
劉德立,-4.161150909262744
主辦,-4.161277231102467
再生能源,-4.161285255834438
建仁,-4.1613106203914745
優質,-4.161561729265323
包容,-4.161850819941071
電信,-4.162572899979251
作品,-4.162597444160837
攜手,-4.162852256348196
探討,-4.163028786216439
深刻,-4.16332091143128
海峽,-4.163715453741766
外銷,-4.163732221544779
品嚐,-4.163740820669252
跨國,-4.163791243806648
頒獎,-4.163803997667858
研究院,-4.163969322601338
建言,-4.164002759447943
推展,-4.164075341462301
展場,-4.164114820984341
不承認,-4.164132457666587
金牌,-4.164248470618233
喜好,-4.1655858516574
農產品,-4.165638214146238
洽談,-4.165818374474842
精品,-4.165831370494351
中華,-4.165919349709405
能量,-4.166184626266766
美好,-4.166331421766525
亞太,-4.167104876079424
教廷,-4.167136416402755
闡述,-4.1673425851613874
競賽,-4.167378335448031
漁業署,-4.167603148830162
蔡總統,-4.167667713534348
培養,-4.1679697827200055
戲劇,-4.1680082365210405
並邀,-4.168233246121544
面向,-4.168550044634477
輸台,-4.168581657276936
國立,-4.1688484943155055
特展,-4.169357876396713
藍圖,-4.169357876396713
創立,-4.1694839598587405
優秀,-4.169653616606918
論述,-4.169856778785758
我方,-4.170347383504891
卓越,-4.171935299284524
大賽,-4.171935299284524
共識,-4.172250347888767
創業,-4.172328148232073
實力,-4.172487134786856
文教,-4.172737617048093
食品安全,-4.172940378376723
