token,tf,df,tf-idf
價價,46,27,1.3593603013008164
觀察美國,16,15,1.359181987879678
生活,20,17,1.3591659151326498
宣示,15,14,1.357321627277259
元大金,20,18,1.3571827003292392
生物,15,12,1.3571298293513165
主委,17,15,1.357115433139015
達台,12,10,1.3570062042921265
稍加,15,13,1.3565120381897513
放話,14,14,1.355973280225252
隱形,17,16,1.3557871489490987
單金額,15,10,1.3556106710823932
翻紅小漲,13,11,1.3548745847907846
單拉,15,15,1.3547699776352835
現高,14,14,1.3547038133995941
壓台,14,14,1.3544034552276032
漢磊,14,14,1.3541024229406453
逾角,12,12,1.3537415932839822
觀察加權,14,14,1.352972629218384
致伸,14,13,1.3528383517678306
列入,18,18,1.3518696233457521
超乎,16,16,1.351672002211176
投資標,19,19,1.3512668410794735
不願,18,17,1.351235616680579
故指,14,14,1.3510363622006438
資淨,11,11,1.3503488117745137
收合晶,15,15,1.3497850969461558
暴漲,16,11,1.3496669878887917
股價盤,14,13,1.348873552600497
將回,14,12,1.3484509276171734
過鴻海,13,13,1.3484397165775897
線上,15,15,1.3483394829576225
今開,14,14,1.3471728528733995
看似,16,16,1.3467928465524612
做出,18,18,1.3462773971454876
電表現,14,14,1.345941890529139
上行,14,14,1.3459404011034328
一倍,19,17,1.3457409658155777
歸台,10,10,1.3455122098913117
工業區,24,8,1.3453270270500877
貨櫃,17,17,1.345013349447902
電美律,12,12,1.3449010449899892
南電,17,16,1.344208450430967
角力,16,13,1.3436617826739883
減肥,16,14,1.3434779130970917
登高,15,13,1.343433516712416
力抗,13,13,1.34326926780221
目光,17,15,1.3430833822852735
再生,19,13,1.3427393982581763
揚升,13,13,1.3413763122991424
同創,13,10,1.341348304177
鋼價,14,14,1.3412612451288313
巨盤,13,13,1.3408863218213505
以平盤,16,16,1.3407154167600321
八月,20,17,1.340677450121297
金華南金,14,13,1.338504204413397
上空,14,11,1.3379652409585057
舊制,11,10,1.3368698744010512
戰點,13,12,1.336854620428917
平價,15,14,1.3363891329285997
將公,18,11,1.336025013815071
穩下,16,16,1.3359421334472545
息影,13,11,1.3359310236618303
修至,17,14,1.3356262185255297
