token,tf,df,tf-idf
投顧,2114,1620,99.76106956167753
自營,2327,2023,99.52137858837848
另外,2311,1908,98.93139802693928
本周,2046,1294,98.36811374693028
應鏈,2101,1502,98.01977866626278
短期,2164,1671,97.75600285101376
跌停,1755,1171,96.98379917452993
是否,2177,1662,95.903955213411
需求,2301,1684,95.89044334787921
收在點,1928,1672,95.57589743421639
跳空,1981,1492,95.32533265840523
賣壓,2135,1696,95.08085292403634
觀察,2305,1825,94.80678397223576
因此,2232,1730,94.11682321306512
水泥,2037,1655,93.87922510432888
利多,2054,1657,93.68676850424272
保守,2047,1533,93.63032135797252
記者,1821,1782,93.14779618727813
科技股,1821,1231,92.5510542590635
買盤,1994,1536,92.16821387667108
籌碼,1918,1619,91.76024213113806
進入,2059,1682,91.62629605877817
力道,1985,1664,91.38891713366516
下半年,1963,1346,91.20449489430564
新光,1926,1419,90.53242964891471
交易日,1831,1491,90.41921515857163
面板,1798,1209,89.99459327658728
除息,1548,773,89.91990852786468
至點,1793,1226,89.60727644233177
技術,2164,1774,89.25382751084547
未來,2106,1711,89.24112696889556
超前,1802,510,88.83935830942659
利空,1874,1455,88.762946636988
小跌,1755,1357,88.63459771367685
推升,1902,1595,88.23604490634312
收斂,1728,1402,87.31891294856572
下挫,1655,1249,87.18737563319416
期指,1277,804,87.06178082036575
盤面,1928,1598,87.06132211602954
賣超,1746,1159,86.71033155760435
全面,1864,1518,86.64619287167318
日均,1578,1001,86.35184429470482
市值,1451,892,85.89377767423103
關卡,1729,1451,85.81171366553761
開始,1982,1542,85.81008964284752
至於,1809,1302,85.67235196144694
科技,1841,1214,85.37160293197996
觀望,1700,1275,85.36183133282806
認購,3216,273,85.31996716612004
布局,1837,1463,85.23560589361455
尾盤,1764,1372,84.99245507305062
明顯,1815,1539,84.60159871985597
工商,1652,1350,84.53847443334358
面上,1681,1435,84.51413883297721
分別,1993,1399,84.36149172677545
基本面,1835,1474,84.259498174831
連續,1837,1494,83.8960412481741
業績,1780,1368,83.43579577918179
之下,1724,1328,83.37568947152047
第一,1977,1525,83.1485675559198
現貨,1534,1219,82.65189331216429
開出,1766,1516,82.33641525455025
趨勢,1794,1384,82.02559716289855
歷史,1690,1346,81.87809755971412
焦點,1600,1370,81.61109622930381
走跌,1507,1156,81.60973628881406
王大立,1558,1479,81.3598118434276
還是,1669,1085,81.27811048212334
依次,688,230,80.90491349548898
政策,1773,1349,80.76221697236709
日值,1424,828,80.37811077401167
金額,1933,1020,80.34378486220132
有利,1762,1395,80.19109620507218
成為,1697,1427,80.16568472387587
汽車,1730,1429,80.01054111993292
營運,1669,1289,79.95681574578313
信心,1608,1306,79.64212115718347
均線,1650,1245,79.57245421807774
基金,1769,980,79.55550757579734
回檔,1524,1206,79.40421192698957
建議,1716,1336,79.38674094073997
因素,1682,1327,79.31332322184718
創下,1642,1333,79.28427934516192
傳產,1704,1373,79.27090437443047
玉晶光,1403,803,79.25861699413446
大型,1521,1191,79.18764209358072
時報,1505,1102,78.98860647683938
食品,1551,1392,78.60333712733619
零組件,1715,1476,78.51973692874049
推薦,847,342,78.3442501647637
低點,1540,1199,78.19908925331751
五大,1720,578,78.0771968460086
淨多單,1621,1003,77.91374943063569
美式,2798,136,77.88705362746325
漲勢,1486,1195,77.80071568286284
產業,1701,1319,77.72153943404619
產品,1611,1076,77.72006925054488
台積電,1522,1266,77.33253227443906
股漲,1400,1183,77.30684476072122
企業,1729,1154,77.26298718885145
題材,1603,1352,76.6898949924242
道瓊,1466,1276,76.40256495135701
期貨,1529,1038,76.30601018126468
美中,1540,951,76.20592357023389
互見,1396,1222,76.19224646032521
最大,1627,1306,76.01697055189297
昨天,1267,853,75.77588120149733
走弱,1478,1193,75.5776780336391
供應,1481,1149,75.43916903634077
集團,1439,1034,75.00198801955194
止跌,1411,1073,74.69372439274102
交叉,1473,1054,74.38321467915418
月光,1335,1060,74.17208232171886
立光,1296,1167,74.05671492147665
工業,1389,1161,73.41864996258288
