token,tf,df,tf-idf
沒有,688,578,39.243107976940976
資買,643,610,39.220208912881404
帶量,622,531,39.18282951911731
順利,676,584,39.14263799549957
陷入,624,557,39.124534215902784
月營,587,496,39.09743957095383
加持,636,583,39.02684816936747
通信,643,614,39.00665273483392
買賣,460,443,38.91544855932261
會議,634,503,38.88913952608182
旗下,663,573,38.86433279924409
群創,576,518,38.81617172372708
月底,668,577,38.7968128160566
中鋼,620,546,38.75290787008068
法說,578,471,38.700063352570965
觀光,619,580,38.69581064172679
中長,678,565,38.68522981741926
選舉,599,394,38.646887380601875
大家,601,407,38.57019473163676
產能,659,497,38.506501613690006
出口,655,448,38.48129888828479
控股,608,572,38.474108086546956
吸引,658,585,38.375746279540515
金元,579,501,38.375295540487855
波動,653,598,38.30886638987433
大廠,680,590,38.29321677942679
單口,608,437,38.257474198220514
萎縮,598,515,38.20293634803369
商買,587,513,38.00623006893287
減少,623,529,37.988735649123065
大滬深,537,333,37.97252127374053
美律,592,502,37.96022541466368
公告,716,531,37.95989693742588
注意,624,504,37.89156335436264
導致,666,593,37.88534252552865
隨即,627,580,37.812890409142476
回流,608,506,37.76122123062987
元大關,552,496,37.75318890181221
指數點,433,426,37.748841802300355
紀錄,578,488,37.66534529925148
接下,604,542,37.60286513317372
盤前,507,501,37.594202554991654
股東會,550,348,37.59279914805164
中石化,603,441,37.5430761240991
近年,629,530,37.49254527346494
逾點,531,445,37.471132308999906
品牌,660,462,37.44530859571314
單季,595,396,37.43624930377167
第二,754,671,37.42604369139633
電機,600,565,37.415577622313585
紅盤,556,494,37.413991387978605
水準,612,546,37.40648434965581
必須,652,564,37.38141312486701
扮演,564,528,37.1799430571261
日盛,710,522,37.147887649526446
全球股市,633,513,37.147586953439074
整數,582,532,37.10014520730517
點作,530,442,36.96849194301221
中期,627,522,36.941713923223
預料,610,547,36.862557674089956
爆量,559,485,36.857503959915164
評論,656,565,36.850868965526374
不到,591,521,36.84826466250445
減少口,590,384,36.8224875912615
逾百點,486,412,36.80064471235198
商品,632,437,36.79670596409651
標價,545,448,36.6695749594027
離率,592,584,36.65688841181177
華為,573,272,36.62948053636067
以元,560,418,36.558864702635084
可期,608,520,36.485778628788324
連結,660,579,36.47856583623422
並未,576,504,36.445605366870545
日前,576,519,36.42890574219675
回補,586,493,36.403086595797184
所以,622,387,36.31505482417686
電器,600,574,36.270665887682334
光電,553,504,36.256017126365855
結束,591,518,36.19005375294168
日報,459,256,36.11827849080195
歐式,1257,130,36.050106405758854
壓抑,564,505,36.02274912355074
周三,549,425,36.02167427083449
積極,631,580,35.97724836062778
問處,517,513,35.940822669433565
收高,541,473,35.92601167978734
繼續,559,474,35.924311842584366
周一,574,441,35.91154079254671
貨淨,423,416,35.890592224242155
權證,636,452,35.83773108329163
引發,599,549,35.68045075416771
研究部,446,432,35.64344986387344
完成,605,491,35.62894027289004
作帳,541,389,35.562054912124864
億台,232,163,35.520933972348296
積電台,404,134,35.41629748859069
基期,572,479,35.389511664648545
電子類,535,441,35.38614779714639
第一季,555,415,35.380475469628095
不佳,566,510,35.371647009911634
機械,574,538,35.328696535174636
態勢,566,511,35.32781321796086
國內,597,505,35.30615352162748
穩盤,512,445,35.25630052365259
達元,467,392,35.243796359175704
股開,496,471,35.15573101085433
反映,551,504,35.15165792330378
網通,543,469,35.04756143217407
說會,515,449,34.97613835441156
降低,603,539,34.961280545292
率先,544,503,34.96100791636377
明光,537,446,34.93952499070976
表態,510,453,34.93303035722251
下探,515,461,34.91454419330791
空單,609,475,34.90714341564885
反攻,514,431,34.7765345507757
直接,555,499,34.710999777627435
報價,573,470,34.703283817224296
正面,531,439,34.67856494213791
大增,577,491,34.645232981433324
研判,547,475,34.64017567221734
官股,427,261,34.62825015259347
午盤,508,433,34.57497141855099
最強,573,498,34.50334599601859
半根,477,365,34.477308954985375
城半導體,531,510,34.3507316803495
配合,541,480,34.29115600629608
快速,579,523,34.17533418321799
大江,460,362,34.16975255726802
破底,500,405,34.16050089593878
元大期,368,367,33.95774633369415
連日,494,428,33.94937926026756
選擇,503,447,33.920007202653174
世界,478,380,33.788107247429686
只是,554,476,33.65250993672187
特斯拉,503,371,33.60891760575756
點點,534,437,33.562404975166146
事件,544,398,33.47395995547707
偏向,484,440,33.4709565312515
穩懋,484,398,33.449917490872586
沉重,561,452,33.44233084971477
提前,527,455,33.4406913165336
人氣,473,423,33.43254966739718
匯損,485,358,33.425769600150936
百貨,491,486,33.412670963598664
緩步,522,450,33.32357160521414
調降,513,410,33.31872348053164
不要,514,395,33.308382854710125
創意,516,420,33.29700516938191
召開,459,382,33.27736474372326
排列,533,442,33.25040955662909
偏空,512,440,33.212088388657506
意願,525,461,33.1801816694523
漲家數,326,306,33.14452137817209
增溫,491,455,33.09647626277915
保險,362,338,33.06638680396796
應用,572,443,33.05720508788844
助攻,478,433,33.0271538021268
期顧,467,463,32.97205920210186
包含,514,414,32.92137473701058
傳統,483,441,32.919268235089774
有利於,521,447,32.918429752468036
攻勢,492,438,32.90346461831897
幾乎,518,450,32.88509587168182
掛牌,520,436,32.844736398816515
情勢,496,420,32.79319453570996
主力,477,415,32.77637807991186
航運,489,448,32.75209476208848
排除,526,470,32.66103950238724
精測,467,338,32.494007684912646
提高,562,487,32.48864418469008
