token,tf,df,tf-idf
豪宅,8,8,0.8012731063678495
低利,9,9,0.8009106446010215
的則,8,7,0.8007257520669517
戰緊,9,8,0.8005362252324852
紙漿,8,7,0.8003871357001202
而櫃,8,8,0.8000508942279669
蓋頭,9,9,0.7999979913538773
鴻準,10,10,0.7997708412815674
坦言,8,8,0.7997605782650237
準則,10,10,0.79929404877359
股線,9,8,0.7988111045290347
現區間,8,8,0.7979922990461685
率將,10,9,0.7976938215239212
廠房,9,8,0.7974076388372193
股逐漸,9,9,0.7972210280240887
並調,10,10,0.796840593347911
一場,10,7,0.7968186032169615
溫跡,8,8,0.79561768337537
人工,9,9,0.7951677473041369
在岸,9,8,0.7951601819734566
徵億,8,8,0.7951577539677347
月則,8,8,0.7951245983688001
其間,9,8,0.7948742611854633
消散,9,9,0.7947692788624825
股若能,9,5,0.7946268339273002
廖祿民,8,6,0.7945036213162971
檔週,18,18,0.794475112502214
貨狀況,8,7,0.7944043366960426
股后國,8,8,0.7941768854218607
登台,9,8,0.7941652038075998
發布期,8,8,0.7938687422147378
前值,11,7,0.7934567008282835
或漲,8,8,0.7925991094722825
票面,8,8,0.7925056161042372
週國際,8,8,0.7923573862337725
提案,9,9,0.7914980597111612
創低,9,9,0.7914671988991699
以量,8,7,0.7914237755224136
抵擋,8,8,0.7912561788632078
線大關,8,8,0.7910369514317298
接收端,8,8,0.7910329292929671
南台,9,8,0.7908891877186426
不敵,8,8,0.7905780121065914
碩鴻準,8,8,0.79045821376229
仍具,8,8,0.7904492276994142
回穩跡,8,7,0.7898961992464845
點續,8,8,0.7898926170423934
觀察電子,9,9,0.7898613815156259
網友,10,4,0.7888608263385575
價證券,11,7,0.788543078144849
王道,10,10,0.7883497394096868
股價持,8,8,0.7883232334347696
單價,8,7,0.7881820455791391
將配,8,8,0.7876508590907555
強大,9,9,0.7876275291346516
直播,8,7,0.7875214908056222
大雨,9,6,0.7868529318306836
李克強,9,9,0.7867108863419975
著手,11,11,0.7866767063459619
會面,9,9,0.786648182330993
林全,9,6,0.7862491811726127
成法,9,9,0.7862312971425498
韓系,9,9,0.7861603570097623
