token,tf,df,tf-idf
中心,100,55,4.189924209721094
應用,95,69,4.175828150411259
成為,104,83,4.169663128202956
可以,118,74,4.168351310840523
大盤,72,56,4.168043238464011
進入,86,61,4.164310969860706
完成,78,57,4.141070590298676
工業,100,63,4.1165515404823365
高點,71,53,4.115493253881663
億至,58,42,4.095598935564473
矽品,67,41,4.088617833428801
推出,75,52,4.080217564744269
人才,109,37,4.078914444181594
類股,68,52,4.072645389711061
領域,100,60,4.057155826054234
強勢,74,61,4.049096278064261
問題,104,49,4.038424563750951
利率,78,52,4.028177720332169
全面,65,37,4.021522195312038
走高,66,51,4.018890488750252
通過,71,46,4.008919806764717
集團,102,62,3.997810157371478
上周,46,24,3.9768965227891306
共同,84,75,3.9431304261472078
汽車,79,55,3.941226203548891
高台,58,43,3.9294596509436803
雖然,85,74,3.9220348908040594
交易,71,50,3.9219007595299953
首季,71,41,3.9168227445248163
總經理,83,68,3.892310384549951
大廠,86,63,3.892027407916739
關注,83,67,3.888790087483677
水準,72,59,3.8860447952586705
廠台,66,66,3.8822249789518803
交易日,62,50,3.8795155706773166
供應,89,72,3.876300782119158
股票,70,47,3.8565687938204234
先前,74,62,3.847792936390408
連結,68,40,3.847402847659708
激勵,66,60,3.8405804311495637
全年,73,52,3.832189036423557
保守,73,58,3.8272886735535088
調整,69,51,3.820215751858701
分別,72,59,3.8148702185133123
推升,61,51,3.8108575711160753
跳空,49,36,3.801811739327911
競爭,89,60,3.794005463972778
除了,87,79,3.7883227897149863
升息,59,39,3.7419221112312773
受到,71,61,3.7398848839191143
分配,68,18,3.723966650971928
創歷史,55,43,3.7189866958425353
加權,64,59,3.714772618114713
報告,73,52,3.713112136959908
工程,86,43,3.6991514077489667
張數,37,17,3.682586940772678
跌破,65,45,3.6788791361363855
時間,85,60,3.668185986910242
信心,63,54,3.6574200470679736
集中,50,34,3.6467750377649137
大立,61,48,3.6244243546712096
附近,60,51,3.6224725655885477
平盤,61,44,3.6177574701359285
相當,87,76,3.610432966914379
買盤,62,49,3.608400046162429
