token,tf,df,tf-idf
回饋,675,210,31.170367341510072
協助,766,513,31.104769620114496
數據,615,438,31.003280866498525
維持,640,466,30.997215037517623
旗下,705,529,30.90914159969887
此外,838,745,30.876434759604727
花旗,575,203,30.87312842655407
大幅,736,585,30.838126246531086
不會,769,596,30.690757041662156
現金,656,372,30.657356847887065
公投,517,252,30.52094059215662
業者,711,423,30.404578324619266
機關,702,472,30.26261930810986
昨天,608,451,30.181256649348544
了解,767,612,30.0956922799185
取得,763,524,30.056784833759654
需要,829,641,29.921136633874827
經營,783,532,29.883669631819075
減少,670,447,29.85641683780306
近期,689,558,29.832713252659786
提高,740,538,29.779579924231534
必須,824,614,29.71675873359354
這些,785,592,29.664648544494476
跌幅,485,287,29.592164886327012
地區,692,459,29.49170179672176
方面,769,591,29.47934029574886
成為,804,674,29.28440473681059
提升,775,547,29.018973340090522
蔡友,462,129,28.952427036528203
法人,580,397,28.940392414382902
支持,715,494,28.76709884334577
官員,626,414,28.736338760792975
貶值,533,298,28.711323106611708
壓力,621,433,28.663174452913946
國民黨,502,166,28.60995642587618
造成,701,554,28.462963527504698
擔任,635,418,28.454228848712194
規模,676,491,28.347102453901506
人士,644,452,28.267822024851082
商業,611,454,28.25270986533155
新高,555,360,28.19916200812894
股價,464,300,28.157991512980104
雖然,744,649,28.081537703679004
預計,611,480,28.058654658297115
脫歐,503,248,27.995410250905724
會議,550,373,27.912427094259403
媒體,642,445,27.856564014083176
另外,716,653,27.73269621667243
接受,664,480,27.672025624868994
淮南,391,116,27.659274543031955
每股,493,282,27.635054863710128
專案,562,319,27.614708994013604
銀行業,554,355,27.5325492097756
環境,705,519,27.45008928984752
手機,600,292,27.438727643413596
方案,630,383,27.411079073926295
人才,647,281,27.331113112988458
辦理,599,423,27.24354433942511
年底,581,412,27.1830722091506
收購,563,216,27.172136671957684
專業,683,415,27.127528749595808
統計,602,487,27.06660578615628
最新,581,493,27.008897340493018
受到,624,523,26.986073984043507
表現,572,443,26.972045391408773
豐金,444,210,26.95008095870294
只要,658,509,26.847460594848137
資訊,626,411,26.838724679972568
提款,465,178,26.799523226145233
航空,481,132,26.723301868404896
歐盟,523,189,26.692769427037934
能力,692,462,26.611595011245623
下滑,510,355,26.534104227051685
外資,486,271,26.490181533678694
代表,650,504,26.420033025775982
銷售,541,338,26.394595049025565
安全,599,357,26.323613236041446
就業,489,241,26.2953377702624
優惠,558,295,26.292554644504072
技術,675,364,26.268215651253733
創新,602,331,26.25011054231265
相當,639,553,26.22785178970039
房市,459,160,26.195186202090085
一度,466,343,26.17521190734513
規定,602,418,26.148797159849188
價格,544,396,25.987824025772866
信用,556,300,25.863187095376542
丁克,402,132,25.84488559242403
連續,497,403,25.816192746965555
衰退,464,247,25.713107513790145
因素,556,421,25.679076689519434
舉行,516,476,25.550741288776273
聯準,424,264,25.46231278667306
退休,487,188,25.452127970901238
授信,465,209,25.396736784708562
通過,558,423,25.393156320764483
委員會,539,463,25.364461534200533
整體,597,503,25.349730921905312
不是,633,490,25.324605326946312
他們,584,409,25.252755318261134
加入,578,360,25.158118159295565
強調,638,551,25.136296763139942
外界,557,437,25.128805447988263
這個,610,454,25.100310106192435
可望,534,410,25.05143848352147
券商,446,171,25.025959797935485
所有,585,462,24.99901991505848
中小,497,238,24.98454196565371
特別,587,453,24.96385316797169
日前,602,499,24.896400996747968
共同,608,465,24.773724408220648
建議,585,411,24.772268958553344
下午,450,364,24.759286962492766
甚至,637,543,24.75512363081018
新加坡,489,310,24.74536497901269
人力,540,278,24.73093978484859
房貸,448,164,24.718753696296815
資本,489,279,24.694292239862058
貿易,524,311,24.677637358149543
成本,580,414,24.609817236804258
漲幅,380,236,24.55489928934266
召開,513,418,24.447067689241155
刷卡,499,193,24.44543565939934
積極,615,522,24.434662810970586
財報,373,220,24.43152324375406
稅後純益,372,124,24.411636543525734
趨勢,591,456,24.308477453307457
渣打,369,106,24.22707017843218
獲得,609,459,24.162269190054726
收盤,372,263,24.132797451941173
機器,430,157,24.098608703647102
事件,503,347,23.932490004047636
明年,480,309,23.919039067993094
上午,432,354,23.86502507243104
處理,534,362,23.861690475627107
立委,446,258,23.85099478396129
當地,501,312,23.84947754280708
去年同期,425,223,23.837452721065983
改革,543,295,23.7904013678985
新光,435,143,23.78780678266955
進入,568,447,23.770795020262454
政治,502,306,23.692748502600935
直接,572,413,23.65406443779663
改善,527,361,23.633060823466675
上半年,427,228,23.549921296707065
還有,553,478,23.5089100102045
信心,452,340,23.491801710781992
分別,534,457,23.45632598986963
預測,407,269,23.43058971739961
